OpenTime,SOL-USD_Open,SOL-USD_High,SOL-USD_Low,SOL-USD_Close,SOL-USD_volume,CloseTime,SOL-QuoteAssetVolume,SOL-NumberOfTrades,SOL-TBBAV,SOL-TBQAV,SOL-ignore,ETH-USD_Open,ETH-USD_High,ETH-USD_Low,ETH-USD_Close,ETH-USD_volume,ETH-QuoteAssetVolume,ETH-NumberOfTrades,ETH-TBBAV,ETH-TBQAV,ETH-ignore,BTC-USD_Open,BTC-USD_High,BTC-USD_Low,BTC-USD_Close,BTC-USD_volume,BTC-QuoteAssetVolume,BTC-NumberOfTrades,BTC-TBBAV,BTC-TBQAV,BTC-ignore
2022-06-06 03:00:00,39.66,40.09,39.47,39.63,200224.1,2022-06-06 04:59:59.999,7972333.8399,14802.0,105760.43,4211792.1838,0.0,1821.21,1827.68,1803.9,1813.17,26348.5764,47793464.778299,30418.0,13267.1663,24064787.609159,0.0,30049.85,30127.47,29815.75,29965.23,1800.20913,53935642.3194993,56349.0,858.98041,25734764.3441609,0.0
2022-06-06 05:00:00,39.64,40.0,38.41,38.52,445595.7,2022-06-06 06:59:59.999,17424456.2546,28496.0,212837.23,8322560.9756,0.0,1813.18,1821.23,1802.55,1806.23,47761.8598,86561823.461996,39535.0,23845.4277,43209520.816664,0.0,29965.23,30070.83,29875.01,29919.21,3162.23341,94814317.5071059,64531.0,1521.6659,45623499.2029683,0.0
2022-06-06 07:00:00,38.53,41.18,38.33,40.92,668326.86,2022-06-06 08:59:59.999,26708966.8393,47316.0,368766.82,14731078.0631,0.0,1806.22,1873.2,1804.35,1864.04,106289.5533,195793809.65687,89261.0,55798.3527,102797108.71727,0.0,29919.2,30924.56,29890.23,30844.07,7869.73595,239714853.1295526,123946.0,4502.21916,137132591.8292323,0.0
2022-06-06 09:00:00,40.93,41.97,40.47,41.77,599144.79,2022-06-06 10:59:59.999,24717914.0649,41804.0,316540.5,13068313.8776,0.0,1864.05,1884.44,1856.96,1878.29,71140.876,132998837.147193,62669.0,36592.7618,68414036.171992,0.0,30844.06,31276.87,30844.06,31251.0,10330.17918,320868029.8504018,120008.0,4480.87935,139147025.8677304,0.0
2022-06-06 11:00:00,41.77,42.05,41.54,41.59,322293.77,2022-06-06 12:59:59.999,13453658.209,24474.0,159087.83,6644425.026,0.0,1878.3,1887.98,1868.54,1870.39,54594.8232,102577715.936825,55633.0,24233.5329,45529568.040712,0.0,31250.99,31357.0,31148.43,31169.05,4313.82827,134718447.4879227,80408.0,2144.87823,66988842.0471053,0.0
2022-06-06 13:00:00,41.59,43.99,41.52,43.05,853821.39,2022-06-06 14:59:59.999,36699388.0127,61330.0,496723.83,21348652.1605,0.0,1870.4,1896.68,1867.47,1893.77,68738.1136,129546439.420417,62056.0,33286.9048,62710788.648087,0.0,31169.05,31434.75,31160.42,31292.77,4859.40802,152031372.7580572,81438.0,2416.689,75598754.377774,0.0
2022-06-06 15:00:00,43.05,44.87,42.94,44.49,750416.55,2022-06-06 16:59:59.999,32924167.8698,53085.0,357435.67,15704682.1444,0.0,1893.76,1912.64,1890.19,1911.43,64884.7103,123335598.097974,70195.0,34271.4896,65148803.859559,0.0,31292.76,31550.0,31281.0,31475.14,4928.61085,154824482.6553961,85266.0,2472.55033,77690153.716527,0.0
2022-06-06 17:00:00,44.49,44.63,43.7,43.92,438020.92,2022-06-06 18:59:59.999,19330655.3409,35561.0,187178.51,8263401.8679,0.0,1911.44,1915.47,1903.52,1909.55,56278.1172,107450387.263454,61842.0,28358.7437,54141895.123516,0.0,31475.13,31599.37,31338.37,31396.71,4304.7168,135305625.8183728,78434.0,2066.27987,64950008.7763743,0.0
2022-06-06 19:00:00,43.93,44.14,43.32,43.56,734381.16,2022-06-06 20:59:59.999,32185783.3261,44523.0,310421.87,13598210.328,0.0,1909.54,1920.0,1892.6,1904.77,76788.6229,146456587.448568,88611.0,38017.0406,72516057.716539,0.0,31396.72,31527.9,31256.0,31442.96,6246.40848,196180463.1355779,96960.0,3020.09767,94853518.398706,0.0
2022-06-06 21:00:00,43.56,44.05,42.31,42.83,722651.06,2022-06-06 22:59:59.999,31160216.5721,53426.0,356518.41,15387816.8827,0.0,1904.77,1916.61,1866.0,1886.79,104257.921,197243820.852059,111454.0,51406.7233,97255528.531299,0.0,31442.96,31765.64,31162.55,31541.42,10421.25807,328014253.7372227,153199.0,5461.74422,171873505.3101901,0.0
2022-06-06 23:00:00,42.83,42.86,41.63,42.17,526217.44,2022-06-07 00:59:59.999,22141420.4652,40315.0,250129.55,10525449.8508,0.0,1886.79,1888.82,1843.72,1856.6,90126.0442,167564341.373987,89724.0,46085.1176,85677381.000085,0.0,31541.41,31555.75,31000.01,31346.12,6684.66758,209117087.7977327,110494.0,3127.43411,97837515.2873398,0.0
2022-06-07 01:00:00,42.17,42.4,41.53,42.23,391092.51,2022-06-07 02:59:59.999,16379591.5381,27481.0,201263.53,8430460.7529,0.0,1856.61,1868.0,1850.55,1863.83,47042.741,87487762.863755,49494.0,24808.7442,46137499.225614,0.0,31346.12,31483.96,31230.24,31470.72,3784.89718,118633623.8991495,77182.0,1947.12607,61034900.2548946,0.0
2022-06-07 03:00:00,42.23,43.12,41.1,43.07,534313.82,2022-06-07 04:59:59.999,22545340.6467,38204.0,270289.37,11412522.5345,0.0,1863.83,1876.82,1846.96,1873.16,33135.1306,61685082.897258,42933.0,16760.4219,31206696.879421,0.0,31470.72,31599.85,31272.39,31488.86,3116.27127,98013166.0088729,72743.0,1629.04695,51237823.6691754,0.0
